"","KSDistance","rInterannualVar","rIntSEMod","rInterannualVarSE","scn"
"5",0.192,0.23,1,0.14,"All"
"15",0.1254,0.23,2.5,0.14,"All"
"25",0.0621,0.23,4,0.14,"All"
"35",0.0926,0.23,5.5,0.14,"All"
"45",0.1354,0.23,7,0.14,"All"
"55",0.1725,0.345,1,0.14,"All"
"65",0.1088,0.345,2.5,0.14,"All"
"75",0.0545,0.345,4,0.14,"All"
"85",0.0986,0.345,5.5,0.14,"All"
"95",0.1448,0.345,7,0.14,"All"
"105",0.1469,0.46,1,0.14,"All"
"115",0.0904,0.46,2.5,0.14,"All"
"125",0.053,0.46,4,0.14,"All"
"135",0.0968,0.46,5.5,0.14,"All"
"145",0.1436,0.46,7,0.14,"All"
"155",0.1181,0.575,1,0.14,"All"
"165",0.076,0.575,2.5,0.14,"All"
"175",0.0608,0.575,4,0.14,"All"
"185",0.1094,0.575,5.5,0.14,"All"
"195",0.1426,0.575,7,0.14,"All"
"205",0.0818,0.69,1,0.14,"All"
"215",0.0478,0.69,2.5,0.14,"All"
"225",0.065,0.69,4,0.14,"All"
"235",0.1058,0.69,5.5,0.14,"All"
"245",0.1562,0.69,7,0.14,"All"
"255",0.1718,0.23,1,0.18,"All"
"265",0.1057,0.23,2.5,0.18,"All"
"275",0.0514,0.23,4,0.18,"All"
"285",0.0916,0.23,5.5,0.18,"All"
"295",0.1358,0.23,7,0.18,"All"
"305",0.1546,0.345,1,0.18,"All"
"315",0.0977,0.345,2.5,0.18,"All"
"325",0.0501,0.345,4,0.18,"All"
"335",0.1011,0.345,5.5,0.18,"All"
"345",0.1394,0.345,7,0.18,"All"
"355",0.1359,0.46,1,0.18,"All"
"365",0.0777,0.46,2.5,0.18,"All"
"375",0.0562,0.46,4,0.18,"All"
"385",0.0984,0.46,5.5,0.18,"All"
"395",0.1451,0.46,7,0.18,"All"
"405",0.1173,0.575,1,0.18,"All"
"415",0.0606,0.575,2.5,0.18,"All"
"425",0.064,0.575,4,0.18,"All"
"435",0.1124,0.575,5.5,0.18,"All"
"445",0.1525,0.575,7,0.18,"All"
"455",0.0895,0.69,1,0.18,"All"
"465",0.0547,0.69,2.5,0.18,"All"
"475",0.0771,0.69,4,0.18,"All"
"485",0.1151,0.69,5.5,0.18,"All"
"495",0.158,0.69,7,0.18,"All"
"505",0.1462,0.23,1,0.22,"All"
"515",0.0893,0.23,2.5,0.22,"All"
"525",0.0527,0.23,4,0.22,"All"
"535",0.0978,0.23,5.5,0.22,"All"
"545",0.1483,0.23,7,0.22,"All"
"555",0.1463,0.345,1,0.22,"All"
"565",0.0796,0.345,2.5,0.22,"All"
"575",0.0504,0.345,4,0.22,"All"
"585",0.1013,0.345,5.5,0.22,"All"
"595",0.1438,0.345,7,0.22,"All"
"605",0.1185,0.46,1,0.22,"All"
"615",0.0707,0.46,2.5,0.22,"All"
"625",0.0601,0.46,4,0.22,"All"
"635",0.1092,0.46,5.5,0.22,"All"
"645",0.1493,0.46,7,0.22,"All"
"655",0.0989,0.575,1,0.22,"All"
"665",0.0574,0.575,2.5,0.22,"All"
"675",0.0724,0.575,4,0.22,"All"
"685",0.1111,0.575,5.5,0.22,"All"
"695",0.1578,0.575,7,0.22,"All"
"705",0.0798,0.69,1,0.22,"All"
"715",0.0474,0.69,2.5,0.22,"All"
"725",0.081,0.69,4,0.22,"All"
"735",0.1156,0.69,5.5,0.22,"All"
"745",0.1626,0.69,7,0.22,"All"
"755",0.1264,0.23,1,0.26,"All"
"765",0.0685,0.23,2.5,0.26,"All"
"775",0.0606,0.23,4,0.26,"All"
"785",0.1063,0.23,5.5,0.26,"All"
"795",0.1438,0.23,7,0.26,"All"
"805",0.1171,0.345,1,0.26,"All"
"815",0.0603,0.345,2.5,0.26,"All"
"825",0.0635,0.345,4,0.26,"All"
"835",0.1143,0.345,5.5,0.26,"All"
"845",0.1456,0.345,7,0.26,"All"
"855",0.1051,0.46,1,0.26,"All"
"865",0.056,0.46,2.5,0.26,"All"
"875",0.0675,0.46,4,0.26,"All"
"885",0.1127,0.46,5.5,0.26,"All"
"895",0.15,0.46,7,0.26,"All"
"905",0.0926,0.575,1,0.26,"All"
"915",0.0447,0.575,2.5,0.26,"All"
"925",0.0751,0.575,4,0.26,"All"
"935",0.1228,0.575,5.5,0.26,"All"
"945",0.1514,0.575,7,0.26,"All"
"955",0.0782,0.69,1,0.26,"All"
"965",0.0522,0.69,2.5,0.26,"All"
"975",0.0778,0.69,4,0.26,"All"
"985",0.1196,0.69,5.5,0.26,"All"
"995",0.1613,0.69,7,0.26,"All"
"751",0.1443,0.23,1,0.14,"Low"
"1551",0.8811,0.23,2.5,0.14,"Low"
"2351",0.4499,0.23,4,0.14,"Low"
"3151",0.2969,0.23,5.5,0.14,"Low"
"3951",0.6179,0.23,7,0.14,"Low"
"4751",0.6321,0.345,1,0.14,"Low"
"5551",0.8172,0.345,2.5,0.14,"Low"
"6351",0.8074,0.345,4,0.14,"Low"
"7151",0.2803,0.345,5.5,0.14,"Low"
"7951",0.774,0.345,7,0.14,"Low"
"8751",0.8618,0.46,1,0.14,"Low"
"9551",0.2331,0.46,2.5,0.14,"Low"
"1035",0.5541,0.46,4,0.14,"Low"
"1115",0.2802,0.46,5.5,0.14,"Low"
"1195",0.8501,0.46,7,0.14,"Low"
"1275",0.3207,0.575,1,0.14,"Low"
"1355",0.3374,0.575,2.5,0.14,"Low"
"1435",0.3354,0.575,4,0.14,"Low"
"1515",0.3407,0.575,5.5,0.14,"Low"
"1595",0.4287,0.575,7,0.14,"Low"
"1675",0.8973,0.69,1,0.14,"Low"
"1755",0.7048,0.69,2.5,0.14,"Low"
"1835",0.4813,0.69,4,0.14,"Low"
"1915",0.5937,0.69,5.5,0.14,"Low"
"1995",0.4322,0.69,7,0.14,"Low"
"2075",0.3259,0.23,1,0.18,"Low"
"2155",0.5354,0.23,2.5,0.18,"Low"
"2235",0.5454,0.23,4,0.18,"Low"
"2315",0.8258,0.23,5.5,0.18,"Low"
"2395",0.2655,0.23,7,0.18,"Low"
"2475",0.6615,0.345,1,0.18,"Low"
