"","KSDistance","sSigmaMean","sIntSEMod","sSigmaSD","scn"
"2",0.2529,0.017392,1,0.01,"All"
"12",0.1432,0.017392,3,0.01,"All"
"22",0.0543,0.017392,5,0.01,"All"
"32",0.0773,0.017392,7,0.01,"All"
"42",0.1266,0.017392,9,0.01,"All"
"52",0.1353,0.034784,1,0.01,"All"
"62",0.0815,0.034784,3,0.01,"All"
"72",0.0515,0.034784,5,0.01,"All"
"82",0.0924,0.034784,7,0.01,"All"
"92",0.1335,0.034784,9,0.01,"All"
"102",0.0466,0.052176,1,0.01,"All"
"112",0.0516,0.052176,3,0.01,"All"
"122",0.0915,0.052176,5,0.01,"All"
"132",0.1231,0.052176,7,0.01,"All"
"142",0.15,0.052176,9,0.01,"All"
"152",0.0924,0.069568,1,0.01,"All"
"162",0.1099,0.069568,3,0.01,"All"
"172",0.1285,0.069568,5,0.01,"All"
"182",0.1591,0.069568,7,0.01,"All"
"192",0.169,0.069568,9,0.01,"All"
"202",0.1439,0.08696,1,0.01,"All"
"212",0.1552,0.08696,3,0.01,"All"
"222",0.1725,0.08696,5,0.01,"All"
"232",0.1845,0.08696,7,0.01,"All"
"242",0.1924,0.08696,9,0.01,"All"
"252",0.1731,0.017392,1,0.03,"All"
"262",0.1054,0.017392,3,0.03,"All"
"272",0.0451,0.017392,5,0.03,"All"
"282",0.1017,0.017392,7,0.03,"All"
"292",0.1265,0.017392,9,0.03,"All"
"302",0.1303,0.034784,1,0.03,"All"
"312",0.0832,0.034784,3,0.03,"All"
"322",0.0645,0.034784,5,0.03,"All"
"332",0.1108,0.034784,7,0.03,"All"
"342",0.1368,0.034784,9,0.03,"All"
"352",0.0801,0.052176,1,0.03,"All"
"362",0.0686,0.052176,3,0.03,"All"
"372",0.0881,0.052176,5,0.03,"All"
"382",0.1264,0.052176,7,0.03,"All"
"392",0.1524,0.052176,9,0.03,"All"
"402",0.0779,0.069568,1,0.03,"All"
"412",0.1034,0.069568,3,0.03,"All"
"422",0.1279,0.069568,5,0.03,"All"
"432",0.1459,0.069568,7,0.03,"All"
"442",0.1787,0.069568,9,0.03,"All"
"452",0.1299,0.08696,1,0.03,"All"
"462",0.1353,0.08696,3,0.03,"All"
"472",0.1557,0.08696,5,0.03,"All"
"482",0.1853,0.08696,7,0.03,"All"
"492",0.1913,0.08696,9,0.03,"All"
"502",0.1108,0.017392,1,0.05,"All"
"512",0.0577,0.017392,3,0.05,"All"
"522",0.0815,0.017392,5,0.05,"All"
"532",0.1229,0.017392,7,0.05,"All"
"542",0.1542,0.017392,9,0.05,"All"
"552",0.0941,0.034784,1,0.05,"All"
"562",0.0635,0.034784,3,0.05,"All"
"572",0.0913,0.034784,5,0.05,"All"
"582",0.1298,0.034784,7,0.05,"All"
"592",0.1585,0.034784,9,0.05,"All"
"602",0.0905,0.052176,1,0.05,"All"
"612",0.0816,0.052176,3,0.05,"All"
"622",0.11,0.052176,5,0.05,"All"
"632",0.1374,0.052176,7,0.05,"All"
"642",0.1616,0.052176,9,0.05,"All"
"652",0.0914,0.069568,1,0.05,"All"
"662",0.1074,0.069568,3,0.05,"All"
"672",0.1308,0.069568,5,0.05,"All"
"682",0.1568,0.069568,7,0.05,"All"
"692",0.1792,0.069568,9,0.05,"All"
"702",0.1287,0.08696,1,0.05,"All"
"712",0.1349,0.08696,3,0.05,"All"
"722",0.1568,0.08696,5,0.05,"All"
"732",0.1783,0.08696,7,0.05,"All"
"742",0.1935,0.08696,9,0.05,"All"
"752",0.089,0.017392,1,0.07,"All"
"762",0.0845,0.017392,3,0.07,"All"
"772",0.1245,0.017392,5,0.07,"All"
"782",0.1399,0.017392,7,0.07,"All"
"792",0.1695,0.017392,9,0.07,"All"
"802",0.0884,0.034784,1,0.07,"All"
"812",0.0938,0.034784,3,0.07,"All"
"822",0.1224,0.034784,5,0.07,"All"
"832",0.1505,0.034784,7,0.07,"All"
"842",0.1727,0.034784,9,0.07,"All"
"852",0.0975,0.052176,1,0.07,"All"
"862",0.103,0.052176,3,0.07,"All"
"872",0.1318,0.052176,5,0.07,"All"
"882",0.1576,0.052176,7,0.07,"All"
"892",0.1755,0.052176,9,0.07,"All"
"902",0.1121,0.069568,1,0.07,"All"
"912",0.1218,0.069568,3,0.07,"All"
"922",0.1435,0.069568,5,0.07,"All"
"932",0.1748,0.069568,7,0.07,"All"
"942",0.1917,0.069568,9,0.07,"All"
"952",0.1407,0.08696,1,0.07,"All"
"962",0.1394,0.08696,3,0.07,"All"
"972",0.1679,0.08696,5,0.07,"All"
"982",0.1773,0.08696,7,0.07,"All"
"992",0.1999,0.08696,9,0.07,"All"
"1002",0.0951,0.017392,1,0.09,"All"
"1012",0.118,0.017392,3,0.09,"All"
"1022",0.1407,0.017392,5,0.09,"All"
"1032",0.1651,0.017392,7,0.09,"All"
"1042",0.1823,0.017392,9,0.09,"All"
"1052",0.1061,0.034784,1,0.09,"All"
"1062",0.1148,0.034784,3,0.09,"All"
"1072",0.1319,0.034784,5,0.09,"All"
"1082",0.176,0.034784,7,0.09,"All"
"1092",0.1947,0.034784,9,0.09,"All"
"1102",0.1145,0.052176,1,0.09,"All"
"1112",0.1292,0.052176,3,0.09,"All"
"1122",0.1517,0.052176,5,0.09,"All"
"1132",0.1692,0.052176,7,0.09,"All"
"1142",0.1975,0.052176,9,0.09,"All"
"1152",0.1308,0.069568,1,0.09,"All"
"1162",0.139,0.069568,3,0.09,"All"
"1172",0.155,0.069568,5,0.09,"All"
"1182",0.1878,0.069568,7,0.09,"All"
"1192",0.2086,0.069568,9,0.09,"All"
"1202",0.1364,0.08696,1,0.09,"All"
"1212",0.1441,0.08696,3,0.09,"All"
"1222",0.1688,0.08696,5,0.09,"All"
"1232",0.19,0.08696,7,0.09,"All"
"1242",0.2083,0.08696,9,0.09,"All"
